participant_id,condition,fsm,task,beta,sum_log_p
97,visible_beta,hard,control,0.36,-5.929743860853563
97,visible_beta,hard,control,0.37,-6.038288516149048
97,visible_beta,hard,control,0.38,-6.149795533126763
97,visible_beta,hard,control,0.39,-6.264058201820084
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.505293433166727
97,visible_beta,hard,control,0.02,-6.098211945128641
97,visible_beta,hard,control,0.03,-5.7101152830080775
97,visible_beta,hard,control,0.04,-5.340818658756413
97,visible_beta,hard,control,0.05,-4.99006744842275
97,visible_beta,hard,control,0.06,-4.657541106617416
97,visible_beta,hard,control,0.07,-4.34285797457838
97,visible_beta,hard,control,0.08,-4.045580830919254
97,visible_beta,hard,control,0.09,-3.7652230183533306
97,visible_beta,hard,control,0.1,-3.5012549721645385
97,visible_beta,hard,control,0.11,-3.2531109766538253
97,visible_beta,hard,control,0.12,-3.0201959834390593
97,visible_beta,hard,control,0.13,-2.801892339150078
97,visible_beta,hard,control,0.14,-2.59756628831737
97,visible_beta,hard,control,0.15,-2.406574138584081
97,visible_beta,hard,control,0.16,-2.228267998290441
97,visible_beta,hard,control,0.17,-2.062001019640368
97,visible_beta,hard,control,0.18,-1.9071321029263788
97,visible_beta,hard,control,0.19,-1.7630300377789676
97,visible_beta,hard,control,0.2,-1.6290770755021233
97,visible_beta,hard,control,0.21,-1.504671941891171
97,visible_beta,hard,control,0.22,-1.3892323123579526
97,visible_beta,hard,control,0.23,-1.2821967807485433
97,visible_beta,hard,control,0.24,-1.183026360105551
97,visible_beta,hard,control,0.25,-1.0912055580707773
97,visible_beta,hard,control,0.26,-1.0062430719712205
97,visible_beta,hard,control,0.27,-0.9276721492324034
97,visible_beta,hard,control,0.28,-0.8550506579666264
97,visible_beta,hard,control,0.29,-0.7879609107184031
97,visible_beta,hard,control,0.3,-0.7260092817116128
97,visible_beta,hard,control,0.31,-0.6688256547899701
97,visible_beta,hard,control,0.32,-0.6160627357902806
97,visible_beta,hard,control,0.33,-0.567395259511403
97,visible_beta,hard,control,0.34,-0.5225191178776117
97,visible_beta,hard,control,0.35,-0.48115043244557
97,visible_beta,hard,control,0.36,-0.4430245911423949
97,visible_beta,hard,control,0.37,-0.4078952660965279
