participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
6,hard,19,visible,hard_c_vis_2a1,2,a,2.0,1.0,a,b,b,b,True,0.0,0.6,0.0,0.5714285714285714,1.9042374526547452,,,,control,,,,,
7,hard,1,hidden,hard_p_hid_0aa10,0,a,,,1,0,,1,False,0.0,0.4,0.0,0.375,1.5581446180465497,0.0,0.375,1.5581446180465497,prediction,a,0.0,,,
7,hard,2,hidden,hard_p_hid_2ab12,2,a,,,1,2,,2,False,0.6,0.0,0.5556640625,0.0,1.880478371940527,0.5556640625,0.0,1.880478371940527,prediction,b,1.0,,,
7,hard,3,hidden,hard_p_hid_3aa03,3,a,,,0,3,,0,False,0.0,0.4,0.0,0.375,1.5581446180465497,0.0,0.0,0.0,prediction,a,3.0,,,
7,hard,4,hidden,hard_p_hid_1aa32,1,a,,,3,2,,2,False,0.4,0.0,0.5,0.0,1.791759469228055,1.0,0.0,2.3978952727983707,prediction,a,3.0,,,
7,hard,5,visible,hard_p_vis_0b3a21,0,b,3.0,,2,1,,1,False,0.6,0.0,0.625,0.0,1.9810014688665833,,,,prediction,a,2.0,,,
7,hard,6,hidden,hard_p_hid_3ab23,3,a,,,2,3,,3,True,0.0,0.4,0.0,0.375,1.5581446180465497,0.0,0.0,0.0,prediction,b,3.0,,,
7,hard,7,visible,hard_p_vis_0a3b21,0,a,3.0,,2,1,,1,False,0.6,0.0,0.75,0.0,2.1400661634962708,,,,prediction,b,2.0,,,
7,hard,8,visible,hard_p_vis_2b1b10,2,b,1.0,,1,0,,0,False,0.6,0.0,0.5714285714285714,0.0,1.9042374526547452,,,,prediction,b,1.0,,,
7,hard,9,visible,hard_p_vis_3b2a12,3,b,2.0,,1,2,,2,True,0.0,1.0,0.0,1.0,2.3978952727983707,,,,prediction,a,2.0,,,
7,hard,10,hidden,hard_p_hid_1ba30,1,b,,,3,0,,0,True,0.0,0.4,0.0,0.446533203125,1.698424875729869,0.0,0.5,1.791759469228055,prediction,a,0.0,,,
7,hard,11,hidden,hard_p_hid_2bb13,2,b,,,1,3,,1,False,0.36,0.64,0.3173828125,0.6826171875,0.628639855316997,0.5712890625,0.428466796875,0.23921985967457812,prediction,b,3.0,,,
7,hard,12,visible,hard_p_vis_3a0b30,3,a,0.0,,3,0,,3,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,b,3.0,,,
7,hard,13,hidden,hard_p_hid_1ba32,1,b,,,3,2,,2,True,0.0,0.24,0.0,0.267822265625,1.3024296616662963,0.0,0.0,0.0,prediction,a,2.0,,,
7,hard,14,hidden,hard_p_hid_2aa23,2,a,,,2,3,,2,True,1.0,0.0,1.0,0.0,2.3978952727983707,1.0,0.0,2.3978952727983707,prediction,a,2.0,,,
7,hard,15,hidden,hard_p_hid_3bb13,3,b,,,1,3,,1,True,0.36,0.16,0.416748046875,0.0625,1.156877417152625,0.5556640625,0.0,1.880478371940527,prediction,b,1.0,,,
7,hard,16,visible,hard_p_vis_2b1a31,2,b,1.0,,3,1,,1,True,0.0,0.6,0.0,0.5,1.791759469228055,,,,prediction,a,1.0,,,
7,hard,17,visible,hard_p_vis_1a0a30,1,a,0.0,,3,0,,0,False,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,a,3.0,,,
7,hard,18,visible,hard_p_vis_0a3a30,0,a,3.0,,3,0,,3,False,0.0,0.4,0.0,0.375,1.5581446180465497,,,,prediction,a,0.0,,,
7,hard,19,visible,hard_p_vis_1b3b30,1,b,3.0,,3,0,,0,False,0.4,0.0,0.25,0.0,1.2527629684953678,,,,prediction,b,3.0,,,
7,hard,20,visible,hard_p_vis_2a2b03,2,a,2.0,,0,3,,0,True,0.4,0.0,0.4444444444444444,0.0,1.6945957207744071,,,,prediction,b,0.0,,,
8,easy,0,visible,easy_c_vis_0b3,0,b,2.0,3.0,a,b,a,a,True,0.4,0.0,0.38461538461538464,0.0,1.578185368929996,,,,control,,,,,
8,easy,1,visible,easy_c_vis_3b0,3,b,3.0,0.0,a,b,a,a,True,0.4,0.0,0.4,0.25,0.3566749439387324,,,,control,,,,,
8,easy,2,hidden,easy_c_hid_21-ab-aa,2,,,1.0,ab,aa,aa,aa,True,0.0,0.24,0.09615384615384616,0.23076923076923078,0.5225216635291821,0.0,0.0,0.0,control,,,,,
8,easy,3,hidden,easy_c_hid_31-aa-ba,3,,,1.0,aa,ba,ba,ba,True,0.0,0.6,0.0,0.15,0.916290731874155,0.0,0.0,0.0,control,,,,,
8,easy,4,visible,easy_c_vis_0b2,0,b,2.0,2.0,a,b,b,b,True,0.0,1.0,0.0,1.0,2.3978952727983707,,,,control,,,,,
