condition,fsm,task,beta,sum_log_p,count
hidden_beta,easy,prediction,2.06,-649.2297238294742,15.0
hidden_beta,easy,prediction,2.08,-655.4538387123914,15.0
hidden_beta,easy,prediction,2.1,-661.6789291334045,15.0
hidden_beta,easy,prediction,2.12,-667.9049677206156,15.0
hidden_beta,easy,prediction,2.14,-674.1319280238965,15.0
hidden_beta,easy,prediction,2.16,-680.359784327647,15.0
hidden_beta,easy,prediction,2.18,-686.5885119530956,15.0
hidden_beta,easy,prediction,2.2,-692.8180869408071,15.0
hidden_beta,easy,prediction,2.22,-699.0484861660133,15.0
hidden_beta,easy,prediction,2.24,-705.2796869351979,15.0
hidden_beta,easy,prediction,2.26,-711.5116681150517,15.0
hidden_beta,easy,prediction,2.28,-717.7444080359544,15.0
hidden_beta,easy,prediction,2.3,-723.9778868367268,15.0
hidden_beta,easy,prediction,2.32,-730.2120846519197,15.0
hidden_beta,easy,prediction,2.34,-736.4469825304237,15.0
hidden_beta,easy,prediction,2.36,-742.6825626817275,15.0
hidden_beta,easy,prediction,2.38,-748.9188064284631,15.0
hidden_beta,easy,prediction,2.4,-755.1556970900207,15.0
hidden_beta,easy,prediction,2.42,-761.393217553186,15.0
hidden_beta,easy,prediction,2.44,-767.6313517243767,15.0
hidden_beta,easy,prediction,2.46,-773.8700846784084,15.0
hidden_beta,easy,prediction,2.48,-780.1093997517359,15.0
hidden_beta,easy,prediction,2.5,-786.3492849305638,15.0
hidden_beta,easy,prediction,2.52,-792.58972334273,15.0
hidden_beta,easy,prediction,2.54,-798.830700994362,15.0
hidden_beta,easy,prediction,2.56,-805.0722077196078,15.0
hidden_beta,easy,prediction,2.58,-811.3142299523352,15.0
hidden_beta,easy,prediction,2.6,-817.55674846335,15.0
hidden_beta,easy,prediction,2.62,-823.7997610705187,15.0
hidden_beta,easy,prediction,2.64,-830.043256704685,15.0
hidden_beta,easy,prediction,2.66,-836.2872116924303,15.0
hidden_beta,easy,prediction,2.68,-842.5316202706624,15.0
hidden_beta,easy,prediction,2.7,-848.7764751376064,15.0
hidden_beta,easy,prediction,2.72,-855.0217656210061,15.0
hidden_beta,easy,prediction,2.74,-861.2674824418835,15.0
hidden_beta,easy,prediction,2.76,-867.5136196079034,15.0
hidden_beta,easy,prediction,2.78,-873.7601532105327,15.0
hidden_beta,easy,prediction,2.8,-880.0070920434493,15.0
hidden_beta,easy,prediction,2.82,-886.2543962545358,15.0
hidden_beta,easy,prediction,2.84,-892.5020805627005,15.0
hidden_beta,easy,prediction,2.86,-898.7501324479916,15.0
hidden_beta,easy,prediction,2.88,-904.9986041999862,15.0
hidden_beta,easy,prediction,2.9,-911.2473853606389,15.0
hidden_beta,easy,prediction,2.92,-917.4964680328019,15.0
hidden_beta,easy,prediction,2.94,-923.745996428783,15.0
hidden_beta,easy,prediction,2.96,-929.9957522981496,15.0
hidden_beta,easy,prediction,2.98,-936.2459620862647,15.0
hidden_beta,easy,prediction,3.0,-942.4963801765452,15.0
hidden_beta,easy,prediction,3.02,-948.7470932446462,15.0
hidden_beta,easy,prediction,3.04,-954.9981279828907,15.0
hidden_beta,easy,prediction,3.06,-961.2497506137471,15.0
hidden_beta,easy,prediction,3.08,-967.5011853611173,15.0
hidden_beta,easy,prediction,3.1,-973.7529104881187,15.0
hidden_beta,easy,prediction,3.12,-980.0053094634757,15.0
hidden_beta,easy,prediction,3.14,-986.2576421703538,15.0
hidden_beta,easy,prediction,3.16,-992.5105298275259,15.0
hidden_beta,easy,prediction,3.18,-998.7636952865048,15.0
hidden_beta,easy,prediction,3.2,-1005.0172931588609,15.0
hidden_beta,easy,prediction,3.22,-1011.2702425291234,15.0
hidden_beta,easy,prediction,3.24,-1017.5232543627385,15.0
hidden_beta,easy,prediction,3.26,-1023.7782840879838,15.0
hidden_beta,easy,prediction,3.28,-1030.0327264803334,15.0
hidden_beta,easy,prediction,3.3,-1036.2870728195328,15.0
