"participant_id","fsm_number","trial_number","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id"
20,22,5,2,"a",2,2,"a",2,"a",2,7216,0,"2a2"
20,22,6,2,"b",1,2,"a",2,"b",1,3491,0,"2b1"
20,22,7,1,"b",1,2,"b",1,"b",1,8672,0,"1b1"
20,22,8,1,"b",3,1,"b",1,"b",3,6970,0,"1b3"
20,22,9,3,"b",3,1,"b",3,"b",3,14017,0,"3b3"
20,22,10,3,"b",2,3,"b",3,"b",2,8258,0,"3b2"
20,22,11,2,"b",0,3,"b",2,"b",0,8251,0,"2b0"
20,22,12,0,"a",3,2,"b",0,"a",3,4285,0,"0a3"
20,22,13,3,"a",2,0,"a",3,"a",2,1818,0,"3a2"
20,22,14,2,"a",2,3,"a",2,"a",2,1814,0,"2a2"
20,22,15,2,"b",0,2,"a",2,"b",0,8179,0,"2b0"
20,22,16,0,"a",3,2,"b",0,"a",3,727,0,"0a3"
20,22,17,3,"a",2,0,"a",3,"a",2,316,0,"3a2"
20,22,18,2,"a",2,3,"a",2,"a",2,93,1,"2a2"
20,22,19,2,"b",1,2,"a",2,"b",1,596,0,"2b1"
20,22,20,1,"b",1,2,"b",1,"b",1,550,0,"1b1"
20,22,21,1,"b",3,1,"b",1,"b",3,425,0,"1b3"
20,22,22,3,"b",3,1,"b",3,"b",3,280,1,"3b3"
20,22,23,3,"b",2,3,"b",3,"b",2,2831,0,"3b2"
20,22,24,2,"b",1,3,"b",2,"b",1,456,0,"2b1"
20,22,25,1,"a",1,2,"b",1,"a",1,971,0,"1a1"
20,22,26,1,"a",1,1,"a",1,"a",1,978,0,"1a1"
20,22,27,1,"a",0,1,"a",1,"a",0,2100,0,"1a0"
20,22,28,0,"a",3,1,"a",0,"a",3,2931,0,"0a3"
20,22,29,3,"b",2,0,"a",3,"b",2,987,0,"3b2"
20,22,30,2,"a",2,3,"b",2,"a",2,293,1,"2a2"
20,22,31,2,"b",0,2,"a",2,"b",0,1531,0,"2b0"
20,22,32,0,"b",3,2,"b",0,"b",3,3374,0,"0b3"
20,22,33,3,"b",3,0,"b",3,"b",3,511,0,"3b3"
20,22,34,3,"b",2,3,"b",3,"b",2,1725,0,"3b2"
20,22,35,2,"b",1,3,"b",2,"b",1,592,0,"2b1"
20,22,36,1,"a",1,2,"b",1,"a",1,604,0,"1a1"
20,22,37,1,"b",1,1,"a",1,"b",1,647,0,"1b1"
20,22,38,1,"a",0,1,"b",1,"a",0,1214,0,"1a0"
20,22,39,0,"b",3,1,"a",0,"b",3,770,0,"0b3"
20,22,40,3,"a",0,0,"b",3,"a",0,14953,0,"3a0"
20,22,41,0,"b",3,3,"a",0,"b",3,4446,0,"0b3"
20,22,42,3,"a",0,0,"b",3,"a",0,1017,0,"3a0"
20,22,43,0,"a",3,3,"a",0,"a",3,604,0,"0a3"
20,22,44,3,"b",2,0,"a",3,"b",2,775,0,"3b2"
20,22,45,2,"b",1,3,"b",2,"b",1,156,1,"2b1"
21,21,1,3,"a",0,NA,NA,NA,NA,NA,8042.67999999999,0,"3a0"
21,21,2,0,"b",2,3,"a",0,"b",2,2965.29999999999,0,"0b2"
21,21,3,2,"a",0,0,"b",2,"a",0,2008.42000000001,0,"2a0"
