participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time
18,22.0,hard,explanation,Experiment 1 (no preview),20,visible,3.0,b,2.0,b,0.0,,,2.0,2,1.0,215.67999999999304
23,21.0,easy,explanation,Experiment 1 (no preview),1,visible,3.0,a,0.0,a,2.0,,,1.0,2,0.0,4456.863000000769
23,21.0,easy,explanation,Experiment 1 (no preview),2,hidden,3.0,a,,a,2.0,,,1.0,2,0.0,6470.384000002232
23,21.0,easy,explanation,Experiment 1 (no preview),3,visible,0.0,b,2.0,a,0.0,,,2.0,2,1.0,3255.023000000743
23,21.0,easy,explanation,Experiment 1 (no preview),4,visible,2.0,a,0.0,a,2.0,,,1.0,2,0.0,2656.398000000743
23,21.0,easy,explanation,Experiment 1 (no preview),5,visible,0.0,a,2.0,a,0.0,,,2.0,2,1.0,2841.878000002238
23,21.0,easy,explanation,Experiment 1 (no preview),6,visible,0.0,b,2.0,b,2.0,,,2.0,2,1.0,4459.802000000724
23,21.0,easy,explanation,Experiment 1 (no preview),7,hidden,0.0,b,,b,2.0,,,2.0,2,1.0,2532.541000000725
23,21.0,easy,explanation,Experiment 1 (no preview),8,visible,3.0,a,1.0,b,0.0,,,1.0,2,0.0,1314.6820000022417
23,21.0,easy,explanation,Experiment 1 (no preview),9,hidden,2.0,a,,a,2.0,,,1.0,2,0.0,2017.3910000022152
23,21.0,easy,explanation,Experiment 1 (no preview),10,hidden,3.0,a,,b,0.0,,,1.0,2,0.0,6900.088000002259
23,21.0,easy,explanation,Experiment 1 (no preview),11,hidden,3.0,b,,a,0.0,,,2.0,2,1.0,587.4890000022133
23,21.0,easy,explanation,Experiment 1 (no preview),12,visible,0.0,b,2.0,a,3.0,,,2.0,2,1.0,1287.4210000007297
23,21.0,easy,explanation,Experiment 1 (no preview),13,hidden,0.0,a,,a,3.0,,,2.0,2,1.0,2319.5570000022417
23,21.0,easy,explanation,Experiment 1 (no preview),14,hidden,2.0,b,,b,2.0,,,2.0,2,1.0,1390.253000002238
23,21.0,easy,explanation,Experiment 1 (no preview),15,hidden,0.0,b,,a,0.0,,,2.0,2,1.0,1090.190000000759
23,21.0,easy,explanation,Experiment 1 (no preview),16,visible,3.0,a,1.0,a,0.0,,,1.0,2,0.0,658.2260000007227
23,21.0,easy,explanation,Experiment 1 (no preview),17,hidden,0.0,a,,a,0.0,,,2.0,2,1.0,459.5960000007181
23,21.0,easy,explanation,Experiment 1 (no preview),18,hidden,3.0,a,,b,2.0,,,1.0,2,0.0,372.2880000007572
23,21.0,easy,explanation,Experiment 1 (no preview),19,visible,2.0,a,0.0,b,2.0,,,1.0,2,0.0,480.3080000007758
23,21.0,easy,explanation,Experiment 1 (no preview),20,visible,0.0,a,2.0,b,2.0,,,2.0,2,1.0,648.3340000007302
25,21.0,easy,explanation,Experiment 1 (no preview),1,visible,0.0,a,2.0,a,0.0,,,2.0,1,0.0,17371.176000143052
25,21.0,easy,explanation,Experiment 1 (no preview),2,visible,3.0,a,1.0,a,0.0,,,1.0,2,0.0,10072.831999952325
25,21.0,easy,explanation,Experiment 1 (no preview),3,visible,0.0,a,2.0,b,2.0,,,2.0,2,1.0,1023.0390000476908
25,21.0,easy,explanation,Experiment 1 (no preview),4,hidden,3.0,b,,a,0.0,,,2.0,2,1.0,6275.161000047694
25,21.0,easy,explanation,Experiment 1 (no preview),5,visible,2.0,a,0.0,b,2.0,,,1.0,2,0.0,578.9090000953584
25,21.0,easy,explanation,Experiment 1 (no preview),6,hidden,2.0,b,,b,2.0,,,2.0,1,0.0,2443.9060000953614
25,21.0,easy,explanation,Experiment 1 (no preview),7,hidden,0.0,a,,a,0.0,,,2.0,1,0.0,2492.0490000953723
25,21.0,easy,explanation,Experiment 1 (no preview),8,hidden,3.0,a,,b,0.0,,,1.0,2,0.0,1652.777000047674
25,21.0,easy,explanation,Experiment 1 (no preview),9,visible,3.0,a,1.0,b,0.0,,,1.0,1,1.0,3966.637999999977
25,21.0,easy,explanation,Experiment 1 (no preview),10,visible,2.0,a,0.0,a,2.0,,,1.0,1,1.0,1884.717000000004
25,21.0,easy,explanation,Experiment 1 (no preview),11,hidden,0.0,b,,a,0.0,,,2.0,1,0.0,604.2800000000279
25,21.0,easy,explanation,Experiment 1 (no preview),12,hidden,0.0,a,,a,3.0,,,2.0,2,1.0,355.33900014305254
25,21.0,easy,explanation,Experiment 1 (no preview),13,hidden,3.0,a,,a,2.0,,,1.0,1,1.0,1224.819000143034
25,21.0,easy,explanation,Experiment 1 (no preview),14,visible,3.0,a,0.0,a,2.0,,,1.0,2,0.0,7387.365000047663
25,21.0,easy,explanation,Experiment 1 (no preview),15,hidden,2.0,a,,a,2.0,,,1.0,1,1.0,1313.6780000000144
25,21.0,easy,explanation,Experiment 1 (no preview),16,visible,0.0,b,2.0,a,0.0,,,2.0,1,0.0,481.31099999998696
25,21.0,easy,explanation,Experiment 1 (no preview),17,visible,0.0,b,2.0,b,2.0,,,2.0,1,0.0,556.3929999999818
25,21.0,easy,explanation,Experiment 1 (no preview),18,hidden,0.0,b,,b,2.0,,,2.0,2,1.0,1114.2620000953902
25,21.0,easy,explanation,Experiment 1 (no preview),19,hidden,3.0,a,,b,2.0,,,1.0,2,0.0,705.3059999523102
25,21.0,easy,explanation,Experiment 1 (no preview),20,visible,0.0,b,2.0,a,3.0,,,2.0,1,0.0,391.1180000953609
30,22.0,hard,explanation,Experiment 1 (no preview),1,hidden,2.0,a,,b,1.0,,,2.0,1,0.0,4237.956000000355
30,22.0,hard,explanation,Experiment 1 (no preview),2,hidden,1.0,a,,a,0.0,,,2.0,2,1.0,14051.888000000734
30,22.0,hard,explanation,Experiment 1 (no preview),3,hidden,3.0,b,,a,2.0,,,2.0,1,0.0,5965.035000000731
30,22.0,hard,explanation,Experiment 1 (no preview),4,visible,1.0,a,0.0,a,3.0,,,1.0,1,1.0,2564.761000000756
30,22.0,hard,explanation,Experiment 1 (no preview),5,visible,1.0,b,3.0,a,2.0,,,1.0,2,0.0,570.0910000003641
30,22.0,hard,explanation,Experiment 1 (no preview),6,visible,3.0,b,2.0,a,2.0,,,2.0,2,1.0,2556.966000000364
30,22.0,hard,explanation,Experiment 1 (no preview),7,hidden,0.0,a,,a,0.0,,,2.0,1,0.0,1199.105000000738
30,22.0,hard,explanation,Experiment 1 (no preview),8,hidden,1.0,b,,a,2.0,,,1.0,1,1.0,1797.217000000761
30,22.0,hard,explanation,Experiment 1 (no preview),9,hidden,2.0,b,,a,1.0,,,1.0,2,0.0,1860.6980000003823
30,22.0,hard,explanation,Experiment 1 (no preview),10,visible,3.0,a,0.0,b,3.0,,,1.0,1,1.0,616.086000000767
30,22.0,hard,explanation,Experiment 1 (no preview),11,hidden,3.0,a,,a,3.0,,,1.0,2,0.0,721.1190000007628
30,22.0,hard,explanation,Experiment 1 (no preview),12,visible,3.0,b,2.0,b,0.0,,,2.0,2,1.0,10797.473000000757
30,22.0,hard,explanation,Experiment 1 (no preview),13,hidden,2.0,b,,b,3.0,,,1.0,1,1.0,2158.1210000007413
30,22.0,hard,explanation,Experiment 1 (no preview),14,visible,2.0,b,1.0,b,1.0,,,1.0,2,0.0,995.8540000003997
30,22.0,hard,explanation,Experiment 1 (no preview),15,hidden,3.0,b,,b,3.0,,,2.0,2,1.0,380.7320000007167
30,22.0,hard,explanation,Experiment 1 (no preview),16,hidden,1.0,b,,b,2.0,,,1.0,2,0.0,419.7360000003828
30,22.0,hard,explanation,Experiment 1 (no preview),17,visible,0.0,b,3.0,b,3.0,,,2.0,1,0.0,491.0340000007418
30,22.0,hard,explanation,Experiment 1 (no preview),18,visible,0.0,a,3.0,a,0.0,,,2.0,2,1.0,4562.191000000399
30,22.0,hard,explanation,Experiment 1 (no preview),19,visible,2.0,b,1.0,a,1.0,,,1.0,2,0.0,542.0210000007646
30,22.0,hard,explanation,Experiment 1 (no preview),20,visible,3.0,a,2.0,b,1.0,,,2.0,2,1.0,559.5000000003492
31,21.0,easy,explanation,Experiment 1 (no preview),1,visible,2.0,a,0.0,b,2.0,,,1.0,2,0.0,5315.0
31,21.0,easy,explanation,Experiment 1 (no preview),2,hidden,0.0,b,,a,0.0,,,2.0,1,0.0,7182.0
