"Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Total.approvals","Vision","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Fluent.languages","openLabId","participant_id"
"2023-01-27T20:21:05.443000Z","2023-01-27T20:29:26.774000Z","2023-01-27T21:04:43.044000","2023-01-27T20:29:27.115006Z",502,44,"Yes",25,"Male","White","United States","United States","United States","English","No","Full-Time","English","Zu-AJGAWNI",75
"2023-01-27T20:28:34.166000Z","2023-01-27T20:37:17.261000Z","2023-01-27T21:05:39.695000","2023-01-27T20:37:17.586915Z",524,7,"Yes",35,"Female","White","United States","United States","United States","English","No","Full-Time","Dutch, English","BMzz8AddIV",76
"2023-01-27T20:32:18.399000Z","2023-01-27T20:41:28.495000Z","2023-01-27T21:06:20.891000","2023-01-27T20:41:28.937736Z",551,87,"Yes",42,"Female","White","United States","United States","United States","English","No","DATA_EXPIRED","English","_LFiVbpOFh",77
"2023-01-27T20:33:22.110000Z","2023-01-27T20:40:38.464000Z","2023-01-27T20:59:35.297000","2023-01-27T20:40:43.533723Z",437,172,"Yes",29,"Male","Black","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","English","SmAvaGhzub",78
"2023-01-27T20:40:20.745000Z","2023-01-27T20:48:59.894000Z","2023-01-27T21:09:51.546000","2023-01-27T20:49:01.013342Z",520,10,"Yes",33,"Male","White","United States","United States","United States","English","No","Full-Time","English","ln1ZUGoQTR",79
"2023-01-27T21:12:05.863000Z","2023-01-27T21:26:07.192000Z","2023-01-27T21:29:45.770000","2023-01-27T21:26:07.664694Z",842,16,"Yes",45,"Male","Black","Jamaica","United States","Jamaica","English","DATA_EXPIRED","DATA_EXPIRED","English","ujRPaZohbe",80
"2023-01-27T21:14:24.725000Z","2023-01-27T21:23:16.163000Z","2023-01-27T21:30:19.230000","2023-01-27T21:23:16.590597Z",532,115,"Yes",22,"Female","Black","United States","United States","United States","English","Yes","Part-Time","English","PgvsHxVsY0",81
"2023-01-27T21:14:56.211000Z","2023-01-27T21:24:13.806000Z","2023-01-27T21:31:21.473000","2023-01-27T21:24:14.276244Z",558,158,"Yes",47,"Female","Other","United States","United States","United States","English","No","Full-Time","English","8f6ffGDDDm",82
"2023-01-27T21:43:17.937000Z","2023-01-27T21:50:23.931000Z","2023-01-27T22:00:49.538000","2023-01-27T21:50:24.325159Z",426,115,"Yes",25,"Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","English","Nt8du0X0KY",83
"2023-01-27T21:46:25.546000Z","2023-01-27T21:54:08.892000Z","2023-01-27T22:01:26.806000","2023-01-27T21:54:09.230543Z",464,10,"Yes",31,"Male","White","United States","United States","United States","English","No","Full-Time","English","A6sv8wU-Qq",84
"2023-01-27T21:49:16.432000Z","2023-01-27T21:56:32.969000Z","2023-01-27T22:01:57.339000","2023-01-27T21:56:33.961285Z",437,18,"Yes",28,"Female","White","United States","United States","United States","English","No","Full-Time","English","fSr1ex3Y2Q",85
"2023-01-27T21:51:47.859000Z","2023-01-27T21:57:50.565000Z","2023-01-27T22:00:02.234000","2023-01-27T21:57:51.242794Z",363,147,"Yes",26,"Male","White","United States","United States","United States","English","No","Full-Time","English","GevzYFLEZJ",86
"2023-01-27T21:53:01.034000Z","2023-01-27T22:08:15.449000Z","2023-01-27T22:08:42.492000","2023-01-27T22:08:16.269703Z",915,138,"Yes",27,"Male","Black","United States","United States","United States","English","DATA_EXPIRED","Other","English","LNfqypkakd",87
"2023-01-27T22:23:03.140000Z","2023-01-27T22:36:37.256000Z","2023-01-27T22:49:35.616000","2023-01-27T22:36:38.000375Z",815,66,"Yes",19,"Male","Black","Haiti","United States","Haiti","French","Yes","Unemployed (and job seeking)","French, English, Other","yrJSanK5hi",88
"2023-01-27T22:31:13.581000Z","2023-01-27T22:42:09.994000Z","2023-01-27T23:01:47.677000","2023-01-27T22:42:10.355256Z",657,145,"Yes",31,"Female","White","United States","United States","United States","English","No","Full-Time","English","YnIOeGyOII",89
"2023-01-27T22:36:40.086000Z","2023-01-27T22:43:17.289000Z","2023-01-27T23:02:45.579000","2023-01-27T22:43:17.663804Z",398,105,"Yes",20,"Female","White","United States","United States","United States","English","Yes","Part-Time","English","_Qt4caMr-6",90
"2023-01-27T22:37:48.778000Z","2023-01-27T22:42:16.528000Z","2023-01-27T23:00:20.404000","2023-01-27T22:42:19.638137Z",268,74,"Yes",23,"Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","English","QF0bodswrC",91
"2023-01-27T22:38:49.904000Z","2023-01-27T22:50:45.489000Z","2023-01-27T23:03:22.682000","2023-01-27T22:50:46.662664Z",716,71,"Yes",23,"Female","White","United States","United States","United States","English","No","Part-Time","English","UBiEFPJvUg",92
"2023-01-27T22:53:24.812000Z","2023-01-27T22:59:44.845000Z","2023-01-27T23:04:30.908000","2023-01-27T22:59:45.211949Z",381,10,"Yes",23,"Male","Asian","United States","United States","United States","English","No","Unemployed (and job seeking)","English","38JQNZDt62",93
"2023-01-27T23:08:44.635000Z","2023-01-27T23:19:13.763000Z","2023-01-27T23:21:05.591000","2023-01-27T23:19:14.409541Z",630,148,"Yes",33,"Female","Other","Mexico","United States","Mexico","Spanish","No","Not in paid work (e.g. homemaker', 'retired or disabled)","Spanish, English","c38y8Ys2IR",94
"2023-01-28T18:42:32.692000Z","2023-01-28T18:54:50.602000Z","2023-01-28T19:29:01.184000","2023-01-28T18:54:50.961769Z",738,129,"Yes",18,"Male","Asian","United States","United States","Japan","English","Yes","DATA_EXPIRED","English, Japanese","wFZ2EpD4EI",95
"2023-01-28T18:55:11.219000Z","2023-01-28T19:04:27.405000Z","2023-01-28T19:30:01.582000","2023-01-28T19:04:28.111303Z",557,118,"Yes",41,"Female","White","United States","United States","United States","English","No","DATA_EXPIRED","English","2TERzGYLmj",96
"2023-01-28T19:51:39.598000Z","2023-01-28T20:03:10.457000Z","2023-01-28T20:08:01.249000","2023-01-28T20:03:11.213468Z",691,197,"Yes",31,"Male","White","United States","United States","United States","English","No","DATA_EXPIRED","English","x7h1ZyGvyh",97
